"company","Company_Status","location","location_Status","industry","Industry_Status","total_laid_off","layoffs_Status","percentage_laid_off","Percentage_Status","date","Date_Status","year","Year_Status","Month","Month_Status","stage","country","funds_raised_millions","Funds_Status"
"AKERNA","Reported","DENVER","Reported","LOGISTICS","Reported","0","missing","0.00","missing","2022-05-27","Reported","2022","Reported","5","Reported","UNKNOWN","UNITED STATES","46.00","Reported"
"AKERNA","Reported","DENVER","Reported","LOGISTICS","Reported","0","missing","0.00","missing","2020-09-02","Reported","2020","Reported","9","Reported","POST-IPO","UNITED STATES","0.00","missing"
"AKILI LABS","Reported","BALTIMORE","Reported","HEALTHCARE","Reported","46","Reported","0.30","Reported","2023-01-12","Reported","2023","Reported","1","Reported","SEED","UNITED STATES","0.00","missing"
"AKULAKU","Reported","JAKARTA","Reported","FINANCE","Reported","100","Reported","0.00","missing","2020-04-15","Reported","2020","Reported","4","Reported","SERIES D","INDONESIA","160.00","Reported"
"ALAYACARE","Reported","MONTREAL","Reported","HEALTHCARE","Reported","80","Reported","0.14","Reported","2022-08-16","Reported","2022","Reported","8","Reported","SERIES D","CANADA","293.00","Reported"
"ALBERT","Reported","LOS ANGELES","Reported","FINANCE","Reported","20","Reported","0.08","Reported","2022-06-10","Reported","2022","Reported","6","Reported","SERIES C","UNITED STATES","175.00","Reported"
"ALEGION","Reported","AUSTIN","Reported","DATA","Reported","0","missing","0.00","missing","2020-04-03","Reported","2020","Reported","4","Reported","SERIES A","UNITED STATES","16.00","Reported"
"ALERZO","Reported","IBADAN","Reported","RETAIL","Reported","0","missing","0.00","missing","2022-09-02","Reported","2022","Reported","9","Reported","SERIES B","NIGERIA","16.00","Reported"
"ALERZO","Reported","IBADAN","Reported","RETAIL","Reported","400","Reported","0.00","missing","2023-03-06","Reported","2023","Reported","3","Reported","SERIES B","NIGERIA","16.00","Reported"
"ALICE","Reported","SAO PAULO","Reported","HEALTHCARE","Reported","63","Reported","0.00","missing","2022-07-11","Reported","2022","Reported","7","Reported","SERIES C","BRAZIL","174.00","Reported"
"ALICE","Reported","SAO PAULO","Reported","HEALTHCARE","Reported","113","Reported","0.16","Reported","2022-12-09","Reported","2022","Reported","12","Reported","SERIES C","BRAZIL","174.00","Reported"
"ALIEXPRESS RUSSIA","Reported","MOSCOW","Reported","RETAIL","Reported","400","Reported","0.40","Reported","2022-05-14","Reported","2022","Reported","5","Reported","ACQUIRED","RUSSIA","60.00","Reported"
"ALLBIRDS","Reported","SF BAY AREA","Reported","RETAIL","Reported","23","Reported","0.00","missing","2022-07-28","Reported","2022","Reported","7","Reported","POST-IPO","UNITED STATES","202.00","Reported"
"ALLYO","Reported","SF BAY AREA","Reported","HR","Reported","0","missing","0.00","missing","2020-04-03","Reported","2020","Reported","4","Reported","SERIES B","UNITED STATES","64.00","Reported"
"ALMANAC","Reported","SF BAY AREA","Reported","OTHER","Reported","0","missing","0.00","missing","2022-08-13","Reported","2022","Reported","8","Reported","SERIES A","UNITED STATES","45.00","Reported"
"ALTO PHARMACY","Reported","SF BAY AREA","Reported","HEALTHCARE","Reported","0","missing","0.00","missing","2022-07-14","Reported","2022","Reported","7","Reported","SERIES E","UNITED STATES","560.00","Reported"
"ALTO PHARMACY","Reported","SF BAY AREA","Reported","HEALTHCARE","Reported","47","Reported","0.06","Reported","2020-09-29","Reported","2020","Reported","9","Reported","SERIES D","UNITED STATES","356.00","Reported"
"AMAZON","Reported","SEATTLE","Reported","RETAIL","Reported","150","Reported","0.00","missing","2022-10-28","Reported","2022","Reported","10","Reported","POST-IPO","UNITED STATES","108.00","Reported"
"AMAZON","Reported","SEATTLE","Reported","RETAIL","Reported","8000","Reported","0.02","Reported","2023-01-04","Reported","2023","Reported","1","Reported","POST-IPO","UNITED STATES","108.00","Reported"
"AMAZON","Reported","SEATTLE","Reported","RETAIL","Reported","10000","Reported","0.03","Reported","2022-11-16","Reported","2022","Reported","11","Reported","POST-IPO","UNITED STATES","108.00","Reported"
"AMBER GROUP","Reported","HONG KONG","Reported","CRYPTO","Reported","0","missing","0.10","Reported","2022-09-09","Reported","2022","Reported","9","Reported","SERIES B","HONG KONG","328.00","Reported"
"AMBEV TECH","Reported","BLUMENAU","Reported","FOOD","Reported","50","Reported","0.00","missing","2023-03-02","Reported","2023","Reported","3","Reported","ACQUIRED","BRAZIL","0.00","missing"
"AMDOCS","Reported","ST. LOUIS","Reported","SUPPORT","Reported","700","Reported","0.03","Reported","2023-01-02","Reported","2023","Reported","1","Reported","POST-IPO","UNITED STATES","0.00","missing"
"AMERICAN ROBOTICS","Reported","BOSTON","Reported","OTHER","Reported","50","Reported","0.65","Reported","2023-01-17","Reported","2023","Reported","1","Reported","ACQUIRED","UNITED STATES","92.00","Reported"
"AMOBEE","Reported","SF BAY AREA","Reported","MARKETING","Reported","0","missing","0.00","missing","2022-11-09","Reported","2022","Reported","11","Reported","ACQUIRED","UNITED STATES","72.00","Reported"
"AMOUNT","Reported","CHICAGO","Reported","FINANCE","Reported","0","missing","0.18","Reported","2022-06-27","Reported","2022","Reported","6","Reported","UNKNOWN","UNITED STATES","283.00","Reported"
"AMOUNT","Reported","CHICAGO","Reported","FINANCE","Reported","130","Reported","0.25","Reported","2023-02-27","Reported","2023","Reported","2","Reported","UNKNOWN","UNITED STATES","283.00","Reported"
"AMPERITY","Reported","SEATTLE","Reported","MARKETING","Reported","13","Reported","0.03","Reported","2022-08-20","Reported","2022","Reported","8","Reported","SERIES D","UNITED STATES","187.00","Reported"
"AMPLERO","Reported","SEATTLE","Reported","MARKETING","Reported","17","Reported","1.00","Reported","2020-03-29","Reported","2020","Reported","3","Reported","SERIES B","UNITED STATES","25.00","Reported"
"ANAGRAM","Reported","LOS ANGELES","Reported","HEALTHCARE","Reported","17","Reported","0.00","missing","2020-04-03","Reported","2020","Reported","4","Reported","SERIES A","UNITED STATES","14.00","Reported"
"ANDELA","Reported","NEW YORK CITY","Reported","RECRUITING","Reported","135","Reported","0.10","Reported","2020-05-05","Reported","2020","Reported","5","Reported","SERIES D","UNITED STATES","181.00","Reported"
"ANGELLIST","Reported","SF BAY AREA","Reported","RECRUITING","Reported","20","Reported","0.00","missing","2020-03-31","Reported","2020","Reported","3","Reported","SERIES B","UNITED STATES","26.00","Reported"
"ANODOT","Reported","TEL AVIV","Reported","DATA","Reported","35","Reported","0.27","Reported","2022-07-06","Reported","2022","Reported","7","Reported","SERIES C","UNITED STATES","64.00","Reported"
"ANTIDOTE HEALTH","Reported","TEL AVIV","Reported","HEALTHCARE","Reported","23","Reported","0.38","Reported","2022-10-23","Reported","2022","Reported","10","Reported","UNKNOWN","ISRAEL","36.00","Reported"
"ANYVISION","Reported","TEL AVIV","Reported","SECURITY","Reported","0","missing","0.00","missing","2020-03-19","Reported","2020","Reported","3","Reported","SERIES A","ISRAEL","74.00","Reported"
"ANYWELL","Reported","TEL AVIV","Reported","REAL ESTATE","Reported","11","Reported","0.00","missing","2022-08-14","Reported","2022","Reported","8","Reported","SERIES A","ISRAEL","15.00","Reported"
"APARTMENT LIST","Reported","SF BAY AREA","Reported","REAL ESTATE","Reported","29","Reported","0.10","Reported","2022-08-31","Reported","2022","Reported","8","Reported","SERIES D","UNITED STATES","169.00","Reported"
"APEEL SCIENCES","Reported","SANTA BARBARA","Reported","FOOD","Reported","0","missing","0.00","missing","2022-07-11","Reported","2022","Reported","7","Reported","SERIES E","UNITED STATES","640.00","Reported"
"APOLLO","Reported","SF BAY AREA","Reported","PRODUCT","Reported","0","missing","0.15","Reported","2022-12-15","Reported","2022","Reported","12","Reported","SERIES D","UNITED STATES","183.00","Reported"
"APOLLO INSURANCE","Reported","VANCOUVER","Reported","FINANCE","Reported","0","missing","0.25","Reported","2022-11-15","Reported","2022","Reported","11","Reported","SERIES B","CANADA","11.00","Reported"
"APP ANNIE","Reported","SF BAY AREA","Reported","DATA","Reported","80","Reported","0.18","Reported","2020-04-28","Reported","2020","Reported","4","Reported","UNKNOWN","UNITED STATES","156.00","Reported"
"APPGATE","Reported","MIAMI","Reported","SECURITY","Reported","34","Reported","0.08","Reported","2023-02-01","Reported","2023","Reported","2","Reported","POST-IPO","UNITED STATES","0.00","missing"
"APPGATE","Reported","MIAMI","Reported","SECURITY","Reported","130","Reported","0.22","Reported","2022-07-21","Reported","2022","Reported","7","Reported","POST-IPO","UNITED STATES","0.00","missing"
"APPLOVIN","Reported","SF BAY AREA","Reported","MARKETING","Reported","300","Reported","0.12","Reported","2022-06-27","Reported","2022","Reported","6","Reported","POST-IPO","UNITED STATES","1600.00","Reported"
"APPLYBOARD","Reported","WATERLOO","Reported","EDUCATION","Reported","90","Reported","0.06","Reported","2022-11-28","Reported","2022","Reported","11","Reported","SERIES D","CANADA","483.00","Reported"
"AQGROMALIN","Reported","CHENNAI","Reported","FOOD","Reported","80","Reported","0.30","Reported","2022-06-20","Reported","2022","Reported","6","Reported","UNKNOWN","INDIA","12.00","Reported"
"AQUA SECURITY","Reported","BOSTON","Reported","SECURITY","Reported","65","Reported","0.10","Reported","2022-12-05","Reported","2022","Reported","12","Reported","SERIES E","UNITED STATES","265.00","Reported"
"AQUA SECURITY","Reported","TEL AVIV","Reported","SECURITY","Reported","24","Reported","0.09","Reported","2020-04-01","Reported","2020","Reported","4","Reported","SERIES C","ISRAEL","100.00","Reported"
"ARC","Reported","SF BAY AREA","Reported","HR","Reported","13","Reported","0.00","missing","2022-07-20","Reported","2022","Reported","7","Reported","SEED","UNITED STATES","1.00","Reported"
"ARCH ONCOLOGY","Reported","BRISBANE","Reported","HEALTHCARE","Reported","0","missing","1.00","Reported","2023-01-13","Reported","2023","Reported","1","Reported","SERIES C","UNITED STATES","155.00","Reported"
"ARCH ONCOLOGY","Reported","ST. LOUIS","Reported","HEALTHCARE","Reported","0","missing","0.00","missing","2023-02-22","Reported","2023","Reported","2","Reported","SERIES C","UNITED STATES","155.00","Reported"
"ARETE","Reported","MIAMI","Reported","SECURITY","Reported","0","missing","0.00","missing","2022-07-22","Reported","2022","Reported","7","Reported","UNKNOWN","UNITED STATES","0.00","missing"
"ARGO AI","Reported","MUNICH","Reported","TRANSPORTATION","Reported","100","Reported","0.00","missing","2020-06-29","Reported","2020","Reported","6","Reported","UNKNOWN","GERMANY","3600.00","Reported"
"ARGO AI","Reported","PITTSBURGH","Reported","TRANSPORTATION","Reported","150","Reported","0.05","Reported","2022-07-07","Reported","2022","Reported","7","Reported","UNKNOWN","UNITED STATES","3600.00","Reported"
"ARGO AI","Reported","PITTSBURGH","Reported","TRANSPORTATION","Reported","173","Reported","0.00","missing","2022-10-26","Reported","2022","Reported","10","Reported","UNKNOWN","UNITED STATES","3600.00","Reported"
"ARGO AI","Reported","SF BAY AREA","Reported","TRANSPORTATION","Reported","259","Reported","0.00","missing","2022-11-01","Reported","2022","Reported","11","Reported","UNKNOWN","UNITED STATES","3600.00","Reported"
"ARGYLE","Reported","NEW YORK CITY","Reported","FINANCE","Reported","20","Reported","0.07","Reported","2022-08-26","Reported","2022","Reported","8","Reported","SERIES B","UNITED STATES","78.00","Reported"
"ARMIS","Reported","SF BAY AREA","Reported","SECURITY","Reported","25","Reported","0.04","Reported","2022-12-08","Reported","2022","Reported","12","Reported","PRIVATE EQUITY","UNITED STATES","537.00","Reported"
"ARRIVAL","Reported","LONDON","Reported","TRANSPORTATION","Reported","0","missing","0.00","missing","2022-10-20","Reported","2022","Reported","10","Reported","POST-IPO","UNITED KINGDOM","629.00","Reported"
"ARRIVAL","Reported","LONDON","Reported","TRANSPORTATION","Reported","0","missing","0.30","Reported","2022-07-13","Reported","2022","Reported","7","Reported","POST-IPO","UNITED KINGDOM","629.00","Reported"
"ARRIVAL","Reported","LONDON","Reported","TRANSPORTATION","Reported","800","Reported","0.50","Reported","2023-01-30","Reported","2023","Reported","1","Reported","POST-IPO","UNITED KINGDOM","629.00","Reported"
"ARRIVE LOGISTICS","Reported","AUSTIN","Reported","LOGISTICS","Reported","75","Reported","0.07","Reported","2020-04-03","Reported","2020","Reported","4","Reported","SERIES B","UNITED STATES","35.00","Reported"
"ARTICLE","Reported","VANCOUVER","Reported","RETAIL","Reported","216","Reported","0.17","Reported","2022-08-04","Reported","2022","Reported","8","Reported","SERIES B","CANADA","0.00","missing"
"ARTICULATE","Reported","NEW YORK CITY","Reported","EDUCATION","Reported","38","Reported","0.00","missing","2023-02-02","Reported","2023","Reported","2","Reported","SERIES A","UNITED STATES","1500.00","Reported"
"ARTNIGHT","Reported","BERLIN","Reported","RETAIL","Reported","26","Reported","0.36","Reported","2022-08-31","Reported","2022","Reported","8","Reported","UNKNOWN","GERMANY","0.00","missing"
"ASANA","Reported","SF BAY AREA","Reported","OTHER","Reported","180","Reported","0.09","Reported","2022-11-15","Reported","2022","Reported","11","Reported","POST-IPO","UNITED STATES","453.00","Reported"
"ASKNICELY","Reported","PORTLAND","Reported","SUPPORT","Reported","0","missing","0.00","missing","2020-04-07","Reported","2020","Reported","4","Reported","SERIES A","UNITED STATES","15.00","Reported"
"ASPIRE","Reported","SF BAY AREA","Reported","MARKETING","Reported","23","Reported","0.00","missing","2022-07-15","Reported","2022","Reported","7","Reported","SERIES A","UNITED STATES","27.00","Reported"
